songName,singer,hot,lyric
乔克叔叔,周杰伦,"3,762",乔克叔叔作词：黄俊郎作曲：周杰伦演唱：周杰伦亲爱的别吓到闭上了眼睛小丑把戏不是大家都可以夸张眼影蓝色忧伤的泪滴丢丢刀喷喷火踩高跷吹笛跌倒失手烧到眉毛我故意哈哈你笑的开心我可是在玩命扑克牌里我的肖像才一两张你看你看我的重要性彩色的大卷发红鼻子最滑稽的步法这样的快乐你学会了吗用笨拙又惊险的杂耍继续对你装傻所有的悲伤通通忘了吧听我说拿出你的钞票笑平常买不到先生小姐们赶快来赶快来再慢就看不到座位没剩多少还能跟乔克叔叔拍一张照我只是卑微的小丑翻几个跟斗就等你拍一拍手人群散了后夜色多朦胧月光也会跟着我我不是孤独的小丑你笑了之后不需要记得我灯熄的时候满天的星空最明亮的是寂寞下著雨我躲在面具里偷偷地在哭泣因为看了不能说的秘密魔术师我恨你抢走我的生意别忘记蝙蝠侠靠我才票房冠军听我说拿出你的钞票笑平常买不到先生小姐们赶快来赶快来再慢就看不到座位没剩多少还能跟乔克叔叔拍一张照我只是卑微的小丑翻几个跟斗就等你拍一拍手人群散了后夜色多朦胧月光也会跟着我我不是孤独的小丑你笑了之后不需要记得我灯熄的时候满天的星空最明亮的是寂寞
明天我要嫁给你,李度,82,明天我要嫁给你秒针分针滴答滴答在心中我的眼光闪烁闪烁好空洞我的心跳扑通扑通的阵阵悸动我问自己要你爱你有多浓我要和你双宿双飞多冲动我的内心忽上忽下的阵阵悸动明天我要嫁给你啦要不是每天的交通烦扰着我所有的梦要不是你问我要不是你劝我要不是适当的时候你让我心动要不是停电那一夜才发现我寂寞空洞明天终于嫁给你啦可是我就在这时候害怕惶恐(END)
唯独你是不可取替,郑秀文,249,唯独你是不可取替演唱：郑秀文如果今天将失去眼前的一切剩低清风两袖也不计唯独你一个是不可给取替是我生命里的一切如早知今生跟你有幸可相爱在当初应更努力为未来其实我知道是可一不可再下半生准我留住你一直相爱曾听说有许多恋爱没有结果却剩伤心者感慨令我都刻意避开是我不敢相信真爱但你不惜真心真意对待竟令我再感到意外让我献出同样的爱全面喝采如果今天将失去眼前的一切剩低清风两袖也不计唯独你一个是不可给取替是我生命里的一切Wooh如早知今生跟你有幸可相爱在当初应更努力为未来其实我知道是可一不可再下半生准我留住你一直相爱其实我知道是可一不可再下半生准我留住你一直相爱
怎么知道你爱我,卓文萱,49,卓文萱-怎么知道你爱我希望在睡觉以前听你说爱我嘴唇贴着我的耳朵希望在离开之前听你说爱我请说带我一起走怎么知道你心里是真的爱我被天气到有没有用当我闭上双眼任由你轻轻吻我一切都变得不同啦……要怎么知道你爱我啦……要怎么知道你想我啦……要怎么知道你爱我啦……嗷~希望在睡觉以前听你说爱我嘴唇贴着我的耳朵希望在离开之前听你说爱我请说带我一起走怎么知道你心里是真的爱我被天气到有没有用当我闭上双眼任由你轻轻吻我一切都变得不同啦……要怎么知道你爱我啦……要怎么知道你想我啦……要怎么知道你爱我啦……嗷~啦……要怎么知道你爱我啦……要怎么知道你想我啦……要怎么知道你爱我啦……嗷~啦……要怎么知道你爱我啦……要怎么知道你想我啦……要怎么知道你爱我啦……嗷~啦……要怎么知道你爱我啦……要怎么知道你想我啦……要怎么知道你爱我啦……嗷~啦……啦……要怎么知道你爱我啦……要怎么知道你想我啦……要怎么知道你爱我啦……嗷~
完美英雄,阿杜,70,完美英雄-阿杜作词:林子钦作曲:王雅君我从山里看著水流滂礴阳光也照耀我的胸口汗在滑落瞬间蒸发成勇气笑容前方的路我不怕多崎岖多难走我看一张一张天真面孔青春无敌放不下执著大声嘶吼人有爱也有痛决定一个梦我就要放大到整个地球Freeworld请为我加油要做自已最完美的英雄重播每个慢动作你绝对不是对手凭著直觉冲破胜利追来碰头Freeworld会为我感动要做自已最骄傲的英雄热情会远远传送到世界每个角落开始第一秒钟我要坚持到最后
SuperSunshine,曹格,103,SuperSunshine作词：阿丹作曲：曹格演唱：曹格YouAreMySunshineMyOnlySunshine因为有了你的爱从此不平凡展开YouAreMySunshineMyOnlySunshine是你让我懂得爱幸福却简单YouAreMySunshineMyOnlySunshine因为有了你的爱从此不平凡展开曾经为了爱情寻寻觅觅却换来空白终于随着冬叶走向渐黄放弃了等待出乎意料你就这样闯进我的生命来就是你让我发呆也想着爱YouAreMySunshine　MyOnlySunshine是你让我懂得爱幸福却简单YouAreMySunshine　MyOnlySunshine因为有了你的爱从此不平凡展开忍不住要对你的温柔轻声的赞美喝着白开水也会醉原来快乐在调味怎么眼睛里的世界变得只剩灰与黑OhBaby因为你太耀眼YouAreMySunshine　MyOnlySunshine是你让我懂得爱幸福却简单YouAreMySunshine　MyOnlySunshine因为有了你的爱从此不平凡展开谁说爱情都有期限谁说爱情没有永远只要望着你的双眼不管未来有多远　都能看得见原来爱情像个圆圈起点终点　同一条线只要甜蜜不断蔓延心贴着就不疲倦　永远其实近在眼前YouAreMySunshine　MyOnlySunshine是你让我懂得爱　幸福却简单YouAreMySunshine　MyOnlySunshine因为有了你的爱从此不平凡展开EverytimeISeeYourFace　甜蜜不断在蔓延EverytimeISeeYourFace　甜蜜不断在蔓延你的爱从此不平凡展开
爱异想,郭采洁,182,郭采洁-爱异想作词：陈镇川、LaQuang况乐作曲：LaQuang况乐在家发完呆你开车过来说是你刚好经过门外IPOD刚摔坏还没时间买怎麽你刚好多了一台我讨厌青菜甜食才精采你每天送来新鲜的派剧情的铺排不怎麽意外我知道你的内心澎湃还要装得有点跩怪可怪非常怪明明爱爱爱嘴巴还要高姿态呆可呆非常呆傻傻呆呆呆未免太害怕失败赴汤蹈火在表态就是不敢问明白快可快非常快请你快快快我的状态是期待猜猜猜YEAH来来来YEAH爱爱爱YEAH快快快YEAH我要我的爱异想得精采你把爱琴海带来窗台可以是王子何必当奴才光做不说搞不定女孩还要装的有点跩怪可怪非常怪明明爱爱爱嘴巴还要高姿态呆可呆非常呆傻傻呆呆呆未免太害怕失败赴汤蹈火在表态就是不敢问明白快可快非常快请你快快快我的状态是期待猜猜猜YEAH来来来YEAH爱爱爱YEAH快快快YEAH怪怪怪爱~明明爱爱爱呆呆呆猜~呆可呆非常呆傻傻呆呆呆可以是王子何必当奴才光做不说搞不定女孩怪的怪非常怪明明爱爱爱嘴巴还要高姿态呆可呆非常呆傻傻呆呆呆未免太害怕失败赴汤蹈火在表态就是不敢问明白快可快非常快请你快快快我的状态是期待猜猜猜YEAH来来来YEAH爱爱爱YEAH快快快YEAH
火辣辣的情歌,乌兰图雅,"1,572",火辣辣的情歌作词：蒋开鲍作曲：郭永利演唱：乌兰图雅火辣辣的情歌火辣辣的唱火辣辣的花朵开出了吉祥火辣辣的情歌火辣辣的唱火辣辣的草原有我爱的天堂草丛中盛开着火红的花朵我的心就在此停泊天空中落下了遍地的牧歌原来是你从这里经过彩虹下流淌着美丽的传说是它深深把我诱惑从身边飘过的每一首情歌我都用心静静的听着火辣辣的情歌火辣辣的唱火辣辣的太阳映红你脸庞火辣辣的情歌火辣辣的唱火辣辣的笑脸在我心里荡呀荡彩虹下流淌着美丽的传说是它深深把我诱惑从身边飘过的每一首情歌我都用心静静的听着火辣辣的情歌火辣辣的唱火辣辣的太阳映红你脸庞火辣辣的情歌火辣辣的唱火辣辣的笑脸在我心里荡呀荡火辣辣的情歌火辣辣的唱火辣辣的花朵开出了吉祥火辣辣的情歌火辣辣的唱火辣辣的草原有我爱的天堂火辣辣的情歌火辣辣的唱火辣辣的花朵开出了吉祥火辣辣的情歌火辣辣的唱火辣辣的草原有我爱的天堂火辣辣的草原有我爱的天堂火辣辣的情歌火辣辣的唱火辣辣的花朵开出了吉祥火辣辣的情歌火辣辣的唱火辣辣的草原有我爱的天堂
泣雪-真爱永相随,白杨,9,"　　歌曲名:泣雪-真爱永相随白杨创作始于2008年05月15日制作完于2008年05月23日作词:白杨作曲:白杨演唱:无名野草(白杨)创作介绍:特创作此歌,献给那些为了祖国的安定和谐发展繁荣…而献身的英雄们...特别是512地震救灾现场以谭千秋老师的为代表的英雄们....他们的无私忘我精神，感动天地。。。平凡的你无怨无悔我愿陪你一起落泪痴情的你感动天地我愿陪你一起狂醉…歌词部分:洁白无暇的雪始终守护在寒冷的冬天你为春天而来你为春花而开一生飞舞在苍茫的旷野你是冬天精灵你是春天的使者春花花开每一瓣有你流泪千行难道为了梦想让你忘了自己?你那清新容颜你那执着爱恋就像昙花一现耗尽你今生期待已变成了美好的镶嵌平凡的你无怨无悔我愿陪你一起落泪痴情的你感动天地我愿陪你一起狂醉我愿陪你一起落泪一起狂醉洁白无暇的雪始终守护在寒冷的冬天你为春天而来你为春花而开一生飞舞在苍茫的旷野你是冬天精灵你是春天的使者春花花开每一瓣有你流泪千行难道为了梦想让你忘了自己?你那清新容颜你那执着爱恋就像昙花一现耗尽你今生期待已变成了美好的镶嵌平凡的你无怨无悔我愿陪你一起落泪痴情的你感动天地我愿陪你一起狂醉我愿陪你一起落泪一起狂醉我愿陪你一起落泪一起一起狂醉哎"
愤怒的小鸟,新街口组合,"1,015",愤怒的小鸟作词:MCHan作曲:新街口组合演唱:新街口组合我想把fifaonline从九城换网易这傻x的游戏总让我买金币他们说所有网络游戏都一样游戏就像姑娘爱上你才知道上当我患上了一种怀疑强迫证最近在找生理医生做精神鉴定我跟医生说我受的伤害太多了现在觉得谁跟我都TM不是真心的人人网虽然已经不再叫校内但我这些年一直靠着它出轨我总是特别喜欢别人的女朋友喜欢约漂亮的妞儿出来喝酒睡一宿我变成这个操行媒体有责任他们丫不把说唱歌手当成音乐人所以我现在特别喜欢操记者不给我做宣传我就对你不负责我要是被车轧了马踩了门掩了我不会跟谁抱怨也不找谁负责任因为我傻逼了我傻逼了全是被傻逼的傻逼的我要是脑膜炎了树叶子砸脑皮了你同情我关心我我也不会回报你因为我傻逼了我傻逼了全是被傻逼的傻逼的当漂亮的女孩大腿敞给富二代我连用的手机都他妈还是山寨我心碎我绝望我哭泣我悲哀我那19岁的媳妇怀了孕让她堕胎以前干每份工作从没超过三个月现在做了老板员工反过来炒我我愤怒我生气我无奈我压抑我的公司里现在雇的全都是上帝谁都想长大挣多一点的银子但老师没教过这个因为他也穷着抢银行中彩票成明星当总统四大生财之道一条跟我也不沾着我觉得这世界三种人最装逼精英成功人士还有知识分子动不动就代表动不动就专家成天号称代表我没让我说一句话我要是被车轧了马踩了门掩了我不会跟谁抱怨也不找谁负责任因为我傻逼了我傻逼了全是被傻逼的傻逼的我要是脑膜炎了树叶子砸脑皮了你同情我关心我我也不会回报你因为我傻逼了我傻逼了全是被傻逼的傻逼的以工体为圆心的东北东有帮人在夜店里等老外碰那姑娘像五十人来待she的弄我用手臂拉开这整个裙下的洞满嘴鸟语成天的疯写些什么内容汉子到底懂不懂一样肤色和面孔跨越了年龄登上出国的梦她向西引身病晒成一身古铜怎么干怎么干我打开钱包去买怎么干怎么干女大学生的招牌怎么干怎么干一被窝一觉踢开快使用双节棍哼哼哈嘿快使用双节棍哼哼哈嘿哈韩之人切记全民公敌特别是你喜欢东方神起快使用双节棍哼哼哈嘿快使用双节棍哼哼哈嘿如果我有飞机拉回失足少女为人耿直不屈人见人欺快使用双截棍哼快使用双截棍哼我说的这些人哼全他妈是傻逼
道道道,张学友,"3,933",道道道作词：黄沾作曲：黄沾演唱：张学友红尘世界一片雾茫茫觅道觅道自寻我千里步问谁好风里路是我前途沙急啊似刀风也疯狂发怒令人皱眉低首冲入漫漫路全凭意志开展我凌云步迈著大步望前去走正路定寻到找到道道道与自豪不怕风似快刀不怕沙尘障路少年汉莫低首相伴同求道茫茫世界开辟我红尘路日日大步踏前去终有日获成功得到道道道与自豪
爱的歌,潘玮柏,64,潘玮柏-爱的歌作词：梁思成作曲：梁思成编曲：蔡庭贵关于爱的故事太多我们只是其中一个像每个人想得一样我们的故事是最美的不管月亮代表谁的心反正我会永远爱着你明天你要嫁给谁当然是我太多的甜蜜和苦涩我们都一起品尝过未来不管还有多少坎坷相信都能度过这是一首写给爱的歌也是一首写给你的歌也许会有很多人唱着但我是最真挚的一个有了你我就觉得快乐失去你我就觉得不快乐那三个字虽然听得太多但是我还是要对你说IloveyouIloveyouIloveyouForeverlove我们手牵手走过看着鲜花的山坡马上变你的颜色在我的心里只愿有你
用马来西亚的天气来说爱你,阿牛,407,用马来西亚的天气来说爱你作词：陈温法作曲：张映坤演唱：阿牛我不能说这个秋季的红叶不够美丽我不能说这个寒冬为何会有绵绵细雨不是我的情怀不够诗情画意只是我生长的这片土地上只有雨季和旱季亲爱的别骂我总是这么的脚踏实地不去编些春风秋雨的心情来哄哄你说春深夏炎幻想着和你一起漫步青青草地说秋红冬寒叫我回忆曾有的往昔亲爱的请你原谅我没有浪漫的恋情只是我太爱这片土地当然也爱上了它的天气我只想说一些我的朋友们也能明白的甜言蜜语让我用马来西亚的天气来说想你让我用马来西亚的天气来说爱你让我用马来西亚的天气来说想你让我用马来西亚的天气来说爱你RasasayanghehrasasayangsayangheiHeilihatNonaJauhRasasayangsayangheiRasasayanghehrasasayangsayangheiHeilihatNonaJauhRasasayangsayanghei亲爱的请你原谅我没有浪漫的恋情只是我太爱这片土地当然也爱上了它的天气我只想说一些我的爱人们也能明白的甜言蜜语让我用马来西亚的天气来说想你让我用马来西亚的天气来说爱你让我用马来西亚的天气来说想你让我用马来西亚的天气来说爱你来说爱你
为自己骄傲,任贤齐,188,为自己骄傲演唱：任贤齐我的梦在天空飘呀飘想要得到就得跳得比人高总有一天再回头望我会为我自己骄傲你和我做的都一样全都是为了一个一个完美的梦想虽然它在那遥远的地方可是我确定方向有时我也会一直想无法预测的未来难免有一些旁惶可是我知道在我的身旁会有人陪我成长喜欢起个早要跟自己的昨天赛跑我带着小小的愿望期待大大的好听到我的心像大鼓敲呀敲心中渴望太阳都听得到我的未来只有我知道坚持最后一秒我的梦在天空飘呀飘想要得到就得跳得比人高总有一天再回头望我会为我自己骄傲你和我做的都一样全都是为了一个一个完美的梦想虽然它在那遥远的地方可是我确定方向喜欢起个早要跟自己的昨天赛跑我带着小小的愿望期待大大的好听到我的心像大鼓敲呀敲心中渴望太阳都听得到我的未来只有我知道坚持最后一秒我的梦在天空飘呀飘想要得到就得跳得比人高总有一天再回头望我会为我自己骄傲我的心像大鼓敲呀敲心中渴望太阳都听得到我的未来只有我知道坚持最后一秒我的梦在天空飘呀飘想要得到就得跳得比人高总有一天再回头望我会为我自己骄傲总有一天再回头望一定会为自己骄傲
你是我的Ok绷,浪花兄弟,281,你是我的OK绷演唱：浪花兄弟、周杰伦一个人的时候在陌生的街头抬头看着繁星夜垂的天空IknowIknow地球另一端有你陪我谢谢你鼓励我勇气是你给我让我迈开脚步一起往前走IknowIknow你是我的OK绷在每一个时候拿一个旧皮箱装着我的梦想我要开始决定旅程的方向设计稿在桌上一叠伟大理想当成这些卖不出去公仔的床有天我突发奇想把这些公仔送孤儿院的小孩看着他们的表情满足的那模样看着他们快乐我也跟着饱了离开了家乡开始我的流浪身上只带着公仔Qpee和Guitar它们陪着我永远不寂寞还有还有一只大狼狗牠名叫阿福整天跟着我在我最最难过的时候给我温暖的眼神肯定的微笑准备往前出发一个人的时候在陌生的街头抬头看着繁星夜垂的天空IknowIknow地球另一端有你陪我谢谢你鼓励我勇气是你给我让我迈开脚步一起往前走IknowIknow你是我的OK绷在每一个时候一直陪着我外婆教我唱的童谣我也从来没忘过她说周杰伦唱的稻香她也没忘过就算失败就算沮丧依然记得回家伤心就抱着家人朋友好好哭一场艳阳会晒乾一切一切烦恼忧伤服下我的疗伤歌曲良药并不苦用耳朵用心听我唱我的精彩故事还没说完蝴蝶蝴蝶飞在天空挥动翅膀阿哈牠其实从前也只是只毛毛虫阿不要灰心钱没再赚失恋再谈只有生命不能重来所以珍惜它的精彩我们全都是渺小蚂蚁却都有存在的那意义不愿失去别失去勇气那就创造回忆裙摆舞动飘逸踏出旋律涟漪的倒影一个人的时候在陌生的街头抬头看着繁星夜垂的天空IknowIknow地球另一端有你陪我谢谢你鼓励我勇气是你给我让我迈开脚步一起往前走IknowIknow你是我的OK绷在每一个时候一直陪着我趁太阳放慢脚步如果你想跟上就必须要更努力折一架音符纸飞机（音符纸飞机）心系着未来的奇蹟（未来的奇蹟）飞吧用美丽旋律来洗礼我们在大树下的约定一个人的时候在陌生的街头抬头看着繁星夜垂的天空IknowIknow地球另一端有你陪我谢谢你鼓励我勇气是你给我让我迈开脚步一起往前走IknowIknow你是我的OK绷在每一个时候一直陪着我
梦想纪念日,郁可唯,"2,761",梦想纪念日作词：王雅君作曲：宇X演唱：郁可唯一个人的憧憬隔好远的距离全在日记本纪录里看天蓝的透明在白天数星星谁说我的梦不实际我深深深呼吸自己做了决定我离开我最熟悉的城市到梦中的北京我睁大了眼睛胡同里ABC世界变得好近把梦都捧在我手心不确定的空气挑战我的勇气却打不倒我冒险的决心大树下的草地我常自己哼着歌曲为明天的未来打气做快乐的女生我做我自己我用歌声唱亮了明天我用相机拍下了满满的纪念时间陪我一起熬夜紧张失眠青春也为我写下美好的一页就像昨天许愿却这么过一年汗水从苦涩变成甜爱装进心里面暂时要说再见我用直觉选择今天就算快乐封街绕远路到终点依然相信坚持最初的信念做勇敢的女生美梦都实现啦啦啦啦啦啦啦啦啦啦啦啦~~啦啦啦啦啦啦
心在云上飞,乌兰托娅,"16,883",心在云上飞作词：葛.娜仁托娅作曲：张明怀演唱：乌兰托娅草地上绽放梦的花蕊蓝天上飞翔新的翅羽一次次往返情系草原海角天涯梦连着你海角天涯梦连着你敖包上飘荡吉祥的旌旗牧场上弥漫着草原的香味一次次来回魂牵草原日日夜夜眷恋着你日日夜夜眷恋着你心在云上飞笑在琴声里草原上人情最淳最美心在云上飞歌在银碗里醉在草原不想回不想回草地上绽放梦的花蕊蓝天上飞翔新的翅羽一次次往返情系草原海角天涯梦连着你海角天涯梦连着你敖包上飘荡吉祥的旌旗牧场上弥漫着草原的香味一次次来回魂牵草原日日夜夜眷恋着你日日夜夜眷恋着你心在云上飞笑在琴声里草原上人情最淳最美心在云上飞歌在银碗里醉在草原不想回不想回心在云上飞笑在琴声里草原上人情最淳最美心在云上飞歌在银碗里醉在草原不想回不想回醉在草原不想回不想回
桂冠英雄,陶喆,134,桂冠英雄-陶喆作词:娃娃作曲:陶喆天很高心砰砰的跳所有声音退去听不到抬起头自尊不让我退缩在决战的这一秒孤单和疲惫只有自己才会明了没有极限的追逐是唯一的目标我为爱而生我为爱而活为一个梦我压不扁也打不倒我为爱狂傲我为爱谦卑爱我的国我的家和我爱的人把桂冠给你把光荣给你我知道英雄走的路有多漫长我知道你要我知道我要新的世界迎着风旗猎猎的飘伟大时刻就快要来到一颗心千万万颗心一起欢呼叹息这一秒痛苦和压力不存在也不再重要融化每个人的心是感动和骄傲我为爱而生我为爱而活为一个梦我压不扁也打不倒我为爱狂傲我为爱谦卑爱我的国我的家和我爱的人把桂冠给你把光荣给你我知道英雄走的路有多漫长我知道你要我知道我要新的世界我为爱而生我为爱而活为一个梦我压不扁也打不倒我为爱狂傲我为爱谦卑爱我的国我的家和我爱的人把桂冠给你把光荣给你我要把一切献给你终于做到我要你的笑我要你拥抱以我为傲以我为傲
光,王栎鑫,"2,692",光演唱：王栎鑫当曙光划破了黑暗当滴汗穿透土壤当天荒已消散当双眼明亮当远方的呼唤在心房激荡是信念创造力量是愿望绽放辉煌是倔强闪烁泪光是梦想让生命发亮勇敢追逐那一道光当霓光点缀了黑暗当声响穿透四方当烟雾已消散当歌声嘹亮当你们的呼唤在心里震撼是信念创造力量是愿望绽放辉煌是倔强闪烁泪光是梦想让生命发亮追逐那一道光勇敢追逐那一道光追逐那一道光勇敢追逐那一道光
最爱笑的人,谭咏麟,384,谭咏麟-最爱笑的人搜啦EP总相信汗水中的路途成功会像路牌一样清楚竭尽全力前行哪怕孤独像我这般认真凡事皆可能每一次高度都是不同每一次离天更近了一分站在千山顶看风云掠过我唱我的歌一唱天下和决心去做最爱笑的人鼓励每一个不平凡的梦跟上我速度星光中追逐彩虹看我们永远不停决心去做最爱笑的人用青春拼搏一段无悔传说胜败在拳中紧握坚定的信心跨越更高天空
亲亲我的宝贝,周华健,"20,955",亲亲我的宝贝词曲：周华健演唱：周华健亲亲我的宝贝我要越过高山寻找那已失踪的太阳寻找那已失踪的月亮亲亲我的宝贝我要越过海洋寻找那已失踪的彩虹抓住瞬间失踪的流星我要飞到无尽的夜空摘颗星星做你的玩具我要亲手触摸那月亮还在上面写你的名字啦啦呼啦啦呼啦啦啦还在上面写你的名字啦啦呼啦啦啦啦呼啦啦啦最后还要平安回来回来告诉你那一切亲亲我的宝贝我要走到世界的尽头寻找传说已久的雪人还要用尽我一切办法让他学会念你的名字啦啦呼啦啦呼啦啦啦让他学会念你的名字啦啦呼啦啦啦啦呼啦啦啦最后还要平安回来回来告诉你那一切亲亲我的宝贝啦啦呼啦啦呼啦啦啦让他学会念你的名字啦啦呼啦啦啦啦呼啦啦啦最后还要平安回来回来告诉你那一切亲亲我的宝贝
小眼睛,范玮琪,166,小眼睛词/曲:William演唱：范玮琪小眼睛　有点无力　你努力睁开眼睛别人却以为　你还没睡醒小眼睛　戴隐形眼镜　想把保龄球塞进高尔夫球的小洞里想把眼睛睁大　用胶带贴住眼皮烦恼它经过时　会不会注意到你小眼睛　不要放弃　眼睛小也有它的魅力拿下你的眼镜　放出你的电力他已经慢慢注意到你小眼睛　不要怀疑　你的眼睛对他最有吸引力用力塞进你的隐形眼睛他已经毫无招架之力小眼睛　有点无力　你努力睁开眼睛别人却以为　你还没有睡醒小眼睛　戴隐形眼镜　想把保龄球塞进高尔夫球的小洞里想把眼睛睁大　用胶带贴住眼皮烦恼它经过时　会不会注意到你小眼睛　不要放弃　眼睛小也有它的魅力拿下你的眼镜　放出你的电力他已经慢慢注意到你小眼睛　不要怀疑　你的眼睛对他最有吸引力用力塞进你的隐形眼睛他已经毫无招架之力小眼睛　不要放弃　眼睛小也有它的魅力拿下你的眼镜　放出你的电力他已经慢慢注意到你小眼睛　不要怀疑　你的眼睛对他最有吸引力用力塞进你的隐形眼睛他已经毫无招架之力
美丽人生,梁静茹,"4,363",美丽人生演唱：梁静茹走进满山遍野的向日葵田　地中海蓝色透明的天亮晶晶你脸上的汗水直到现在　风一吹都闻到普罗旺斯的花草香火车颠颠跛跛的爬上了山　斑驳的光影装满车厢你晃啊晃睡在我的肩膀　时钟慢慢停下来像掉进了一个魔法的时空　爱情的流动终于有一个理由午后暖暖的风吹着发呆的我　白色纱帘在记忆中翻动西班牙的广场　快下山的太阳两个人的影子在陌生地上像一双翅膀自由自在飞翔　像毕卡索的画像幸福是说不出　酸酸甜甜的糖你会一种魔法　让夜晚都发光１２３睁开眼美丽人生在月光下跳舞都忘了有地图　只有手心的温度我们慢慢走过　花草香的小路走进满山遍野的向日葵田　地中海蓝色透明的天亮晶晶你脸上的汗水直到现在　风一吹都闻到普罗旺斯的花草香火车颠颠跛跛的爬上了山　斑驳的光影装满车厢你晃啊晃睡在我的肩膀　时钟慢慢　停下来像掉进了一个魔法的时空　爱情的流动终于有一个理由午后暖暖的风吹着发呆的我　白色纱帘在记忆中翻动西班牙的广场　快下山的太阳两个人的影子在陌生地上像一双翅膀自由自在飞翔　像毕卡索的画像幸福是说不出　酸酸甜甜的糖你会一种魔法　让夜晚都发光１２３睁开眼美丽人生在月光下跳舞都忘了有地图　只有手心的温度我们慢慢走过　花草香的小路像掉进了一个魔法的时空　爱情的流动终于有一个理由午后暖暖的风吹着发呆的我　白色纱帘在记忆中翻动
捧你在手心,谢娜,236,捧你在手心演唱：谢娜还记得幻想进入你梦乡和你畅游在爱的天堂摘星星摘月亮挥动一对翅膀默契的目光心里暖洋洋你的呵护围绕在身旁浪漫到童话里王子公主的模样永远把你捧在我的手心永远和你分享所有甜蜜可知道我心里是多么爱你决定你就是我的唯一永远把你捧在我的手心心爱宝贝一样形影不离在爱的世界里我们在一起情愿一辈子陪伴你你愿不愿意还记得幻想进入你梦乡和你畅游在爱的天堂摘星星摘月亮挥动一对翅膀默契的目光心里暖洋洋你的呵护围绕在身旁浪漫到童话里王子公主的模样永远把你捧在我的手心永远和你分享所以甜蜜可知道我心里是多么爱你决定你就是我的唯一永远把你捧在我的手心心爱宝贝一样形影不离在爱的世界里我们在一起情愿一辈子陪伴你你愿不愿意你愿不愿意
纯真,五月天,80,纯真作词：阿信作曲：阿信演唱：五月天长长的路上我想我们是朋友如果有期待我想最好是不说你总是微笑的你总是不开口世界被你掌握月亮绕地球地球绕着太阳走我以为世界是座宁静的宇宙今晚的天空有一颗流星划过在预言着什么在无声之中你拉起了我的手我怎么感觉整个黑夜在震动耳朵里我听到了心跳的节奏星星在闪烁你怎么说你心中一定有座浓雾的湖泊任凭月光再皎洁照也照不透你眼中闪烁湖面无边的温柔那波光在诱惑在无声之中你拉起了我的手我怎么感觉整个黑夜在震动耳朵里我听到了心跳的节奏星星在闪烁你会怎么说在无声之中你拉起了我的手我怎么感觉整个黑夜在震动耳朵里我听到了心跳的节奏星星在闪烁你会怎么说你已经有他就不应该再有我世界的纯真此刻为你有迷惑我想我应该轻轻放开你的手我却没有力气这么做
我们在一起,张靓颖,15,张靓颖-我们在一起把记忆模糊了回到那年冬季不期而遇在白色天地无邪的世界里我畅快的呼吸因为有你才更美丽眼神中体会久违的默契这感觉无忧无虑我们在一起我的世界没有你就不是完整的天地流连在雪景中回忆童年游戏在我心底如此的熟悉缤纷的世界里欢笑有我有你无论何时无论何地不同的颜色融合在一起这感觉没有距离我们在一起欢乐的心未来每一天我们会更珍惜爱让我们在一起
因为有你,黄晓明,674,因为有你演唱：黄晓明BabababababaBabababababa如果感谢是我不擅长说的对白你的在乎其实我全都明白我的快乐来自你的微笑太灿烂感觉真实的愉快所以我能放心每段精彩很想摆脱时间每一秒能慢一拍用眼神交换依赖不说话也能够猜因为你梦不断让每天不感慨很开心有你陪我看未来所以梦装满爱坚持的走到现在好不容易把惊喜打开因为你爱不断跳进我的心海烛火中永远都感觉温暖约定要一辈子继续的守护未来一路上我都不孤单我的快乐来自你的微笑太灿烂感觉真实的愉快所以我能放心每段精彩很想摆脱时间每一秒能慢一拍用眼神交换依赖不说话也能够猜因为你梦不断让每天不感慨很开心有你陪我看未来所以梦装满爱坚持的走到现在好不容易把惊喜打开因为你爱不断跳进我的心海烛火中永远都感觉温暖约定要一辈子继续的守护未来一路上我都不孤单很想摆脱时间每一秒能慢一拍用眼神交换依赖不说话也能够猜因为你梦不断让每天不感慨很开心有你陪我看未来所以梦装满爱坚持的走到现在好不容易把惊喜打开因为你爱不断跳进我的心海烛火中永远都感觉温暖约定要一辈子继续的守护未来一路上我都不孤单因为你梦不断让每天不感慨很开心有你陪我看未来所以梦装满爱坚持的走到现在好不容易把惊喜打开因为你爱不断跳进我的心海烛火中永远都感觉温暖约定要一辈子继续的守护未来一路上我都不孤单BabababababaBabababababa
